,Text,Class
2529,kerala seeing another spurt covid infection resident malayalis return home state country indiatodaymagazine indiatodayinsight,true
5947,house resolution provides fund forcibly removed people covid home rashid buttar said,fake
5269,official news,fake
4478,another rumor claim military coming paris coronavirus,fake
6194,banner swastika trump penny michigan coronavirus protest,fake
3707,june girl government shelter home swarup nagar kanpur found covid positive kanpur coronavirus,true
3423,ilhan omar father covid complication word describe meant knew minnesota democrat said statement,true
5329,number death novel coronavirus tiny comparison cause death,fake
21,currently recommend general public facemasks respirator covid niosh graphic intended worker wear tight fitting respirator learn covid,true
1710,young healthy people barely sick covid dying stroke,true
1404,failure record ethnicity covid victim scandal chief,true
6193,wisconsin person election caused surge coronavirus case,fake
2038,covid death toll twitter phujywjzr,true
4935,russian president putin released lion onto street keep people indoors,fake
2847,mamata banerjee told amit shah covid said twitter emxezpi,true
5924,imran khan wife tested positive covid,fake
2939,uttarakhand tourism minister satpal maharaj wife former minister amrita rawat tested positive covid,true
5760,disaster management india prohibits posting message regarding covid would attract punishment obey,fake
913,three covid related death west bengal,true
214,conductor driver distribute mask among passenger karnataka coronavirusupdates coronaviruspandemic coronavirusupdates coronavirusindia covid india covid twitter qfdxsmiw,true
6470,megha vyas pune india died covid treating covid patient,fake
5314,video dead body thrown mass grave italy,fake
5718,muslim police officer beating temple priest breaking lockdown order india,fake
1885,death year crpf personnel covid troop battalion infected disease rung alarm bell establishment crpf covid,true
6513,vaccine polio funded bill gate paralysed almost child india,fake
3998,germany gave medical protection equipment like mask china missing germany,fake
3886,coronavirus biological warfare weapon,fake
3315,demand answer missing bame page covid report,true
5293,india operating evacuation flight bring back stranded indian london,fake
5377,irish prime minister taoiseach varadkar urged people houseparty video messaging security concern,fake
6004,video police force odessa ukraine refuse front group people gathered street video would demonstrate ukrainian authority fine people gathering covid lockdown italian policeman would jogger punish,fake
5393,image show muslim queueing mosque standing closer metre apart lockdown announced,fake
6041,beaten deoria india lockdown time,fake
6083,sanitize mask microwaving minute,fake
7115,spanish police sanction citizen street carrying spanish flag protesting government saucepan,fake
3450,worker catch covid meat plant anglesey,true
7308,people covid misdiagnosed pneumonia dying thrombosis,fake
3544,reusable container safe covid pandemic expert,true
6218,video dolphin appear swimming marina supposedly inactivity port caused coronavirus health crisis video circulated saying promenade palma mallorca port denia alicante port moraira alicante port premi barcelona,fake
6496,first volunteer coronavirus vaccine trial elisa granato died,fake
6550,missouri business open monday order long guideline followed,fake
197,four case tested positive saturday person relative covid patient admitted hinduja hospital later shifted kasturba hospital report mustafashk kamleshsutar coronavirus coronavirusindia covid,true
6126,image gujarat show condition migrant worker stuck lockdown,fake
4302,saddam hussein explaining coronavirus,fake
4245,msnbc actually said hope enough people coronavirus harm trump election,fake
6852,mortality statistic past year show overmortality pandemic,fake
910,johnson hospital persistent covid symptom still working twitter xuhrnffqwx,true
4171,senegalese president government appears mask press conference,fake
5284,covid blamed death unrelated cause,fake
68,almost million student worldwide faced week home italy india latest shut school covid outbreak covid coronavirus school,true
2954,breaking biggest single covid spike tamilnadu watch preetichoudhry live twitter leosd,true
5106,photo coronavirus patient treated road italy,fake
5972,covid stimulus check advance refund,fake
5061,nevada governor steve sisolak banned anti malaria drug might help cure coronavirus,fake
3480,coronavirus death miss many victim peru registered fewer covid death compared total number death tell different story country seen huge spike death peaking double would expected twitter xzrmxeyez,true
1316,people covid tamil nadu test positive total case rise tamil nadu health minister vijayabaskar tamilnadu covid india,true
3242,lawyer submitted plea calcutta high court praying court order directing child year exempted attending school physically till medicine vaccine cure covid developed,true
799,according icmr people tested positive covid india friday coronavirusoutbreak,true
1344,collection cartoon cartoonist surendracart covid outbreak india click also know thought comment twitter xhquy,true
3026,business minister tested covid lawmaker return parliament twitter mwyuihamia,true
3370,china report covid case june beijing twitter ihckxqphhm,true
6001,video show muslim woman spitting plastic throwing house spread coronavirus,fake
7442,coronavirus defeated cure using antibody,fake
222,director general health service anil jasinghe said case covid identified saturday,true
1014,clash loom japan tokyo governor covid measure enough,true
4873,french state give benefit people unemployed covid people partially unemployed coronavirus,fake
3039,perspective police enforce covid stay home order harshly black people,true
1862,antiviral drug remdesivir helped improve symptom covid patient read know coronaviruscrisis covid world,true
6156,coronavirus created chinese research facility wuhan,fake
1954,welcome announcement chief defence staff today india waged strong fight covid courageous frontline warrior india applauds family tweet modi,true
3767,unlock lockdown shall continue implemented strictly containment zone till july containment zone required carefully demarcated state government view contain spread covid vijaita,true
4427,cristiano ronaldo hotel turned quarantine centre portugal,fake
2605,covid concern pocket rail passenger,true
6158,economist stefan homburg reproduction number coronavirus published german robert koch institute show lockdown germany neither necessary effective number lockdown,fake
3032,odisha resident memorandum expressed fear covid care centre become reason community spread disease area,true
3304,increasing capacity delhi covid priority governor twitter ccfgxaikkq,true
7233,bill gate spread virus profit vaccine,fake
2651,covid testing telangana cause concern union health minister harshvardhan express concern itvideo twitter oqvdwgwbjj,true
1163,covid case maharashtra state tally rise health official,true
7100,video show migrant laborer protesting surat gujrat,fake
6891,covid pretense lobby enslave reduce amount people earth,fake
6689,covid self testing holidng breath mustard nose kill coronavirus,fake
3092,undiagnosed covid could mean english toll higher thought twitter erfi,true
4736,romania changed break quarantine face year prison,fake
3846,claim cannibalism china,fake
4172,senegalese president government appears mask press conference,fake
5242,post shared time facebook feature photo child others showing woman hospital claiming parent infected novel coronavirus,fake
5691,viral post facebook show quote forensic doctor allegedly said single healthy person died covid,fake
3244,capitalcovidcrisis indiafightscorona designated covid hospital prepared enough bring reality check watch newstrack rahulkanwal live twitter mitsovhazh,true
181,sport relief help covid raising,true
5000,hantavirus deadly problem emerging china cure,fake
5784,president donald trump announced roche medical company launch coronavirus vaccine sunday,fake
6888,jimmy kimmel tweeted video said mike penny carried empty,fake
4589,video american president donald trump announcing roche medical company launch vaccine covid,fake
5641,brazilian observed indian prime minister narendra modi light call,fake
2639,elderly covid patient ventilator usually survive york hospital report,true
6344,prevotella bacteria responsible covid,fake
4615,government moved approve trillion stimulus package address impact novel coronavirus outbreak short block text outlining canada alleged response outbreak flourished social medium,fake
2040,contingency plan johnson death battled covid twitter timxwsl,true
2093,company expect covid sale fifth deloitte twitter hckcdhidn,true
2940,maharashtra initially covid testing today number taken next increasing number testing monsoon informed thackeray,true
4228,aiims indian medical institute team said toddy medicinal property cure coronavirus,fake
6367,text insinuates macedonian minister defense insulted doctor easter greeting post facebook coronavirus epidemic,fake
3770,covid treatment remdesivir priced typical patient,true
4934,whether democrat voted coronavirus stimulus bill,fake
3023,covid death toll surpasses reuters tally twitter kqzciisnj,true
6958,prolonged mask cause hypoxia oxygen deficiency fatigue loss reflex,fake
2031,indiaagainstcovid migrant worker kerala empty saving donate covid relief fund partnership dettolindia apnisurakshaapnehaath twitter jclbvwoysw,true
3804,coronavirus cause sudden death syndrome,fake
385,health ministry saturday morning said total confirmed case novel coronavirus covid reported across country,true
6557,hospital united state paid patient covid,fake
4073,confidential governmental document prof government decided postpone local election france outbreak,fake
1749,covid pandemic earn governor rule bodoland territorial area district btad assam covid assam,true
7394,asymptomatic infected people infect people,fake
2356,brussels airline slash fleet workforce covid twitter hxfimei,true
7357,indian politician uddhav thackeray asked christian pray jesus stop covid,fake
1459,kerala gradually ease covid lockdown restriction least seven district monday,true
6804,japanese study reveals covid mortality lower,fake
2176,pull dividend cope covid twitter tbrz,true
4445,looting supermarket coronavirus,fake
3265,britain publishes covid safety guidance airline airport twitter ogeyfc,true
4002,russia announces closure airspace suspends incoming outgoing flight china,fake
5944,pentagon confirms coronavirus accidentally chemtrail supply train,fake
5432,indian ministry home affair issued order sharing post coronavirus social medium group punishable offense,fake
3369,easyjet resume flying covid measure place twitter vroneci,true
6604,indiand entral government providing free scholarship online tuition class school child,fake
5869,novel coronavirus sending economy freefall post list phone number seeker call find work shared thousand time facebook instagram,fake
6721,liechtenstein introduces mandatory biometric bracelet track covid pandemic,fake
3359,coronavirus latest death confirmed covid case,true
6658,report state vegetarian world found infected covid,fake
1953,sikh pilgrim covid punjab return maharashtra ndtvnewsbeeps twitter,true
4803,russia unleashed lion street ensure people staying indoors pandemic outbreak,fake
136,india first covid death confirmed karnataka coronaviruspandemic follow live update,true
5225,video bollywood actor aamir khan donated crore fight aganist covid,fake
5863,church service resume vaccinated bill gate,fake
2355,covid death toll worst europe twitter flfr,true
5477,video aqsa mosque israel allows photography inside,fake
1949,coronaviruscrisis health ministry release latest number covid maharashtra remains worst affected state indiafightscorona itvideo twitter vejmeph,true
1528,help company keep customer updated business hour service changed owing covid google introduced optimize feature useful covid google,true
2406,team lucknow found numerous irregularity treatment covid patient medical college strict action expected government agra district magistrate prabhu singh india today,true
4525,hospital clean coronavirus take care child young people madrid,fake
4524,madrid enabled phone number request prescription,fake
5729,photo show dozen coffin allegedly sale coronavirus victim,fake
7270,german police enter home forcibly vaccinate people,fake
5107,another disease called hantavirus china,fake
1562,student offer revoked covid impacting placement ndtvnewsbeeps coronavirus twitter kgxlsu,true
800,friday around fresh covid case reported rajasthan andhra pradesh uttar pradesh delhi,true
4268,tuit report brazilian president jair bolsonaro tested positive coronavirus,fake
1822,people across country delivering grocery free none unless said gradiva couzin founder volunteer group delivers grocery people stuck home covid,true
2064,woman brother mother lost covid,true
2459,head vaccine medicine must fairly shared beat covid twitter jkltq zghx,true
6838,video bill gate alledgely stating vaccine useful sterilize reduce world population,fake
1740,delhi hospital sealed hour staff infected covid twitter tycdzhzot,true
5424,italian threw away currency street covid death,fake
57,watch case covid confirmed india health ministry stepped effort check spread virus list dont released health ministry coronaalert coronavirus,true
3999,coronavirus dangerous animal human,fake
4226,muslim people china seeking refuge islam reading quran save covid,fake
2411,bengal shocker year covid positive victim creamated kolkata hospital without information itvideo iindrojit twitter oaqtto,true
5943,president donald trump referred coronavirus hoax political conspiracy,fake
2991,first result recovery covid drug trial expected early july twitter sybmzflzif,true
7138,parrot eating rice lockdown,fake
6763,person arrested violating lockdown night bail lockdown state gujarat india,fake
4351,husband tested positive coronavirus wife fled bangalore agra india,fake
1309,death toll covid rise case climb health ministry covid india coronavirusoutbreakindia,true
4195,madrid mayor manuel carmena coronavirus,fake
5317,satellite royal dutch meteorology institute knmi showed lowered nitrogen level since coronavirus crisis would supposedly indicate nitrogen level netherlands unrelated dutch agricultural sector,fake
667,required take necessary step deemed including extending validity period ensure prepaid subscriber enjoy uninterrupted service period lockdown trai said statement dayslockdown covid,true
1503,feeding monkey covid pandemic could profoundly negative effect long term helping sars virus mutate infect primate biologist,true
2874,four number covid case assam reached coronaviruspandemic hemantakrnath,true
3585,arvind kejriwal demand army staff covid centre amit shah responds twitter dwjwok,true
4214,dangerous make hand sanitizer home,fake
1518,england covid hospital death toll rise twitter hanqpkl,true
7325,video show migrant staying quarantine facility india refused food cooked dalit woman caste group,fake
3035,brutality seeing scarier covid said black woman brooklyn story woman taken street york,true
5362,video muslim gathered road despite curfew curb spread coronavirus,fake
4144,covid killed degree celsius,fake
4236,seven ambulance worker infected coronavirus catalonia,fake
5685,show date lockdown france region region,fake
1056,meal frequent deep cleaning indigo plan post covid lockdown ndtvnewsbeeps twitter psgzemz,true
3990,wife chinese shop owner totana murcia spain coronavirus,fake
1504,confusion chaos prevailed town people started pouring authority relaxed covid lockdown restriction monday kerala coronavirus,true
3691,bournemouth raise alarm huge crowd ignore covid advice flock coast twitter rjfurjlg,true
4156,novel coronavirus case mild,fake
4337,supermarket recalling coronavirus infected toilet paper,fake
2912,england risk covid resurgence ending lockdown soon scientific adviser twitter iolxmp,true
259,last party last dance goodbye college student decamp covid,true
5319,headline alleges first pregnant woman coronavirus gave birth macedonia,fake
2689,young woman make covid warning final gift world twitter smgwhbvs,true
2262,global report anthony fauci white house covid taskforce member self quarantine,true
2338,perspective policy mistake made covid worse,true
2150,black woman nearly twice likely covid white counterpart according analysis office national statistic twitter pdemi,true
2478,watch covid victor parivaar story hope recovery chaiti itlivestream,true
3727,state including maharashtra delhi tamil nadu contributed active covid caseload,true
457,icmr covid task force recommends hydroxy chloroquine high risk case sudhir bhandari medical college hospital share importance drug watch indiafirst gauravcsawant covid stayhome coronaviruscrisis live twitter wpkg,true
4387,cristiano ronaldo turn hotel hospital,fake
5016,post shared thousand time facebook claim provide emergency food stamp hotline,fake
318,three doctor institute nephro urology karnataka home quarantined since tuesday doctor related year girl tested positive covid covidindia,true
7450,drinking pigeon membrane slurry cure covid,fake
5777,dutch minister said giving money portuguese politician like putting sardine basket,fake
5364,italian throwing money street useless coronavirus scare,fake
6173,muslim scattered currency note road indore spread coronavirus,fake
3053,silent shrine fund trickle bastion faith bracing post covid world time putting effort covid relief work read story absolutely free device click twitter btmlpqgv,true
1077,disinfection gateway portable system generates hydrogen peroxide mist based decontamination facility fight covid pandemic indiafightscorona coronaviruscrisis covid imamitabhs,true
5285,advance notice covid resigned dump stock,fake
3071,scientist behind sweden covid strategy suggests allowed many death,true
4966,pakistani usman riaz speaks coronavirus death,fake
2812,updated million covid case reported state reporting case covid case reported among healthcare personnel available twitter jxmd,true
5796,german doctor claim half covid test show false positive result,fake
2675,india focused energy containing spread infection ramping covid facility preparation aided govt decision gradually ease lockdown happens next indiatodaymagazine,true
600,covid coronavirus outbreak infected people killed around world click link live covid update,true
7220,rohingya muslim terrified thinking doctor placed head doctor actually thermal scan using machine,fake
210,practice smooth remote working experience coronaviruspandemic coronavirusupdates covid,true
7103,several people broke rule lockdown gathered offer namaaz prayer muslim area city delhi,fake
5895,graphic video viewed thousand time multiple post facebook twitter alongside claim show islamist extremist killing hindu indian state rajasthan india covid lockdown,fake
5090,image mother unable feed suckling battle covid,fake
4517,spanish politician ortega smith said prefer covid,fake
2106,covid case reported delhi monday taking total number case according delhi government report ikasnik covid delhi,true
6511,japanese nobel price said sars human made,fake
580,coronavirus indian scientist join battle covid,true
1555,decided conduct special survey identify senior citizen vulnerable contract covid mumbai indiafightscorona coronaviruscrisis covid kamleshsutar,true
936,nadia tiger believed first known case human infecting animal making sick covid,true
5177,image show indian police beaten migrant worker amid india lockdown commuting,fake
6031,supermarket charente maritime france took advantage epidemic increased prize kilo potato euro,fake
4,ground zero kerala used experience controlling nipah virus outbreak prepare potential covid spread coronavirus kerala china,true
366,opposition party reiterated demand close parliament face covid outbreak friday least gone self quarantine coming directly indirectly contact patient coronavirusoutbreak,true
3696,perspective school daycare closed covid worsening woman inequality,true
2938,whole world lockdown mode trying cope covid pandemic sweden taken different approach,true
6200,following coronavirus pandemic film star salman khan given ambulance india,fake
2704,uttar pradesh health minister pratap singh said migrant returned uttar pradesh tested positive covid neelanshu uttarpradesh migrant coronavirus,true
4976,reserve bank india extended year closing,fake
496,death toll covid touched monday government announced slew measure including suspension domestic flight operation march slow spread novel coronavirus,true
268,according ministry health number monday total number coronavirus case india stand tally includes foreigner covid covid coronavirusoutbreak coronavirusinindia,true
6674,video show seizing coronavirus infected face mask sent china,fake
2252,socialize south korea government said declaring start daily life covid keeping vigilant sign backsliding need restriction snap back place take long,true
3683,astrazeneca moderna ahead covid vaccine race twitter sftsjcdxtg,true
4494,million rupee fund allocated telangana coronavirus prevention entirely funded central government,fake
126,analysis first covid case india show traveled abroad contracted disease locally coronavirusinindia coronavirusoutbreak mukeshrawat,true
3928,mortality rate right around coronavirus,fake
4086,vitamin miracle cure novel coronavirus,fake
6517,named muslum alsan jail covid pandemic murdered year daughter,fake
5066,congress included include raise coronavirus stimulus package,fake
3354,parent covid left alone child battling immense anxiety pandemic lockdown toll mental health physical symptom covid doctor jyotishelar,true
1098,lockdown limited covid hotspot,true
6287,democratic senator plus independent voted sending direct payment american part coronavirus economic stimulus package,fake
4631,spanish minister agriculture called football player earning much showing lack solidarity,fake
6386,photo show pregnant woman suffering coronavirus,fake
5009,york governor andrew cuomo rejected buying recommended ventilator pandemic established death panel lottery instead chance ventilator price turned,fake
4007,president barack obama waited month call swine emergency thousand died,fake
1793,covid recovery spending guided green finance plan expert twitter xygtow,true
1685,post covid multilateralism dead coronavirusoutbreak,true
1998,covid case found gautam budh nagar coronairusoutbreak uttarpradesh live update twitter dqfbc,true
4621,technology believed caused coronavirus,fake
440,pandemic covid world important stay protected every manner possible coronavirusoutbreak medical insurance,true
2565,tracking covid deep inside dharavi infocorona sardesairajdeep itlivestream,true
6034,chinese eating octopus surviving coronavirus,fake
506,bolsonaro feel anything infected covid attack state lockdown,true
1829,guardian front page wednesday april covid crisis could lead cancer death expert warn twitter kyqe,true
4845,aspirating boiling water vapor five minute deactivates coronavirus,fake
3066,hindu spoke family three policeman died covid shared story aftermath,true
1990,liquor shop allowed covid containment zone lockdownindia,true
6585,doctor bakersfield discover coronavirus mortality rate deadly previously thought analysis since banned youtube,fake
7572,delhi police released coronavirus guideline,fake
1519,covid death toll higher daily figure data suggests twitter jyskqyibvr,true
3502,perspective covid credit score worry later,true
4395,coronavirus pandemic planned rockefeller back,fake
5287,french champion chloroquine didier raoult supposed said bill gate vaccine,fake
1050,peter navarro trump covid tsar lack expertise make,true
4703,forbidden france lockdown,fake
876,airbnb host defy lockdown covid retreat,true
1422,rajnath singh chair covid meet opening activity discussed ndtvnewsbeeps twitter pukuqctgdx,true
2490,covid case york coming people leaving home cuomo twitter aswrbtymty,true
2441,covid dropped curtain live entertainment happens ticket,true
2928,modi address nation monthly mannkibaat share latest step taken deal covid crisis urge people extra careful itvideo live twitter awqjcj,true
6707,baba ramdev claim covid self diagnosed controlling breathing mustard kill virus,fake
5511,ansa news reported former governor mario draghi lead italian task force covid,fake
1592,spread covid steam inhalation cure skin colour protect catching virus reality check chris morris tackle latest false claim coronavirus circulating online twitter wufmiejc,true
1009,mangum oklahoma town people died virus resident tested positive covid highest infection rate rural america city emergency shelter place order curfew like larger city around twitter,true
3343,kerala confirmed coronavirus case person recovered infection indicating downward trend covid graph kerala coronavirus,true
6211,police take harsh step temple priest violating lockdown norm,fake
4082,article vatican confirmed pope assistant coronavirus,fake
1924,amazon city resort mass graf brazil covid death soar twitter,true
3258,south korean doctor find risk factor severe covid case twitter udyk,true
278,coronavirus year patient mumbai hospital journovidya tell itvideo covid covid coronavirusoutbreak twitter prvhjgncyp,true
6402,whatsapp chain cross offering euro bonus whole family midst coronavirus crisis,fake
3883,coronavirus infected patient reached vinod kumar given treatment later referred bhagalpur state avoid meat fish month wear mask protect coronavirus,fake
2418,kidney injury seen third hospitalized covid patient study twitter xwbcqgrhfp,true
6299,spanish government authorizing military airplane spray city substance help neutralize coronavirus,fake
808,instagram influencer slammed isolating testing positive covid twitter slveid,true
3818,satellite image show high level sulphur dioxide china possible evidence mass cremation people died coronavirus,fake
4719,saddam hussein talked coronavirus cabinet army ninety said america threatened spread virus follow command,fake
5978,robber give mask soaked chemical order people,fake
3662,england covid test trace system fails reach quarter positive case twitter dqwyvxkqeq,true
820,opinion targeting asian asian american make harder stop covid,true
4532,ukraine utility bill deferred month quarantine,fake
2967,china report covid case highest nearly three week twitter,true
3249,coronaviruscrisis tamilnadu another high daily covid case take look report itvideo twitter xsagzwy,true
2578,ndtvexclusive need make certain vaccine covid available everybody davidnabarro special covid envoy ndtv twitter miqxxzq,true
4021,critical novel coronavirus barhalganj india,fake
5722,claim saying bill gate said microchip mandatory travelling covid,fake
1246,punjab government tuesday launched rapid testing facility district cover hotspot covid phased manner punjab covid,true
3332,lancet editor attack government catastrophic handling covid pandemic,true
4688,obama family flown private island escape coronavirus pandemic,fake
6503,government must planned coronavirus pandemic coronavirus relief bill introduced three year earlier,fake
5933,ratan tata said human motivation determined effort make expert prediction wrong regarding fall indian economy covid crisis,fake
2688,full disclosure hedge fund navigate covid health question twitter,true
6911,message claiming city mumbai military lockdown next contain spread covid virus milk medicine available time,fake
957,global health fund call billion begin covid exit strategy twitter dfgekfmpk,true
233,covid exposing frailty autocrat democrat alike,true
7197,footage large crowd shared multiple facebook post claiming show migrant worker stopped delhi uttar pradesh state border india nationwide covid lockdown,fake
1277,suspect avoid criminal charge covid crisis,true
1377,smitanaram talk ancient secret deal covid like virus itvideo chaiti twitter petjgkrxy,true
2706,covid icmr recommends hydroxychloroquine preventive therapy itvideo twitter gwzs ueij,true
7393,article shared facebook claimed virus fake proven faulty testing,fake
2217,trump tested covid daily military aide test positive coronavirus update twitter tlzqbfcjhx,true
6429,inhaling steam orange peel salt kill coronavirus,fake
3402,coronaviruscrisis number covid case increasing rapidly pakistan several lawmaker infected virus,true
6483,series unsubstantiated claim interview david icke amongst allegation alleged connection coronavirus claim doctor characterise every death covid fatality,fake
3661,gilead remdesivir become europe first covid therapy twitter qkugf hsfl,true
2746,deal anxiety helplessness frustration rankles volunteer frontlines socio economic crisis spurred covid pandemic covid pandemic mentalhealth,true
2305,covid crisis stokes european tension migrant labour,true
7416,coronavirus stay throat four,fake
4475,government closing business stop spread coronavirus even though number nothing compared ebola everyone need realize government something,fake
1729,afwafactcheck photo woman going viral social medium claim megha vyas pune died covid treating patient infected coronavirus arjundeodia,true
6254,video round social medium claim policeman tested positive covid,fake
3708,covid patient administered different drug approved treating disease take look drug milan report itvideo video twitter qrzkmlmmms,true
5671,hospital caught using dummy pandemic footage,fake
3218,maharashtra fight covid quota delhi continues watch major headline newstoday live twitter ofozsszbr,true
349,mitigate transmission covid union territory jammu kashmir dervice mini service auto passenger service shall srinagar immediate effect read order issued regional transport officer kashmir,true
3112,covid crisis shake brazil bolsonaro keep impeachment twitter vgkl,true
5503,video doctor attacked city hyderabad went screen local covid,fake
2975,minister fire delayed release bame covid review,true
4733,hospital advising people wear glove petrol pump,fake
403,health ministry official said still investigating case person tamilnadu tested positive covid reportedly travel history affected country contact anyone tested positive covid,true
7344,study show covid asymptomatics contagious,fake
1652,number covid case china dorps single digit coronavirus coronaviruspandemic,true
2505,coronaviruscrisis sharp decline number covid positive case paramilitary force aajtakjitendra report itvideo twitter blgvrq,true
1034,boris johnson getting better intensive care battling covid government extended overdraft facility reviewed stringent shut peacetime history,true
5089,space hospital italy people crowding outside,fake
1958,people ethnic minority britain dying disproportionate number covid possibly part likely work healthcare sector exposed virus leading think tank said,true
6506,facebook post shared time claim people pennsylvania wear face mask public novel coronavirus pandemic risk fine month jail,fake
5485,indian actor shah rukh khan donated money pakistan fight coronavirus help india,fake
1584,tally covid positive person rajasthan increase detection case nine district today highest number patient found jaipur followed ajmer tonk jodhpur covid rajasthan,true
574,fight covid vaccine watch infocorona sardesairajdeep indiafightscorona coronaviruspandemic twitter pwfv,true
644,total confirmed covid case india death toll coronavirusupdate,true
3896,coronavirus arrived sarajevo bosnia herzegovina,fake
5905,viral publication video show party italy week covid,fake
2819,letter state chief secretary monday icmr director general balram bhargava said covid diagnostic supply stabilising indigenous production covid,true
4850,malaria medication work treat covid,fake
1766,eight covid positive case detected bihar total number state risen four gopalgunj district east champaran district diagnosed virus report amarnathtewary bihar covid,true
6561,conversation journalist white house used state journalist know joke coronavirus hoax,fake
2985,amid covid pandemic karnataka health minister flouts norm thevaibhavag aiyshwaryam share thought watch ivelive shivaroor twitter rkwzx,true
6512,spanish french mask price comparable,fake
870,perspective cuomo wrong covid anything equalizer,true
2000,kerala battle covid liquor shop open state mall beauty parlour also remain shut itsgopikrishnan share detail itvideo twitter uiwhrwpqck,true
3231,brazil restores detailed covid data supreme court ruling twitter,true
7466,text message state facebook would taken advantage chaos created covid gain permission personal picture,fake
1664,coronavirus delhi report fresh covid case death taking tally watch firstup twitter lehrmvpik,true
2361,twenty three covid case balasore three ganjam jajpur puri boudh district take odisha total state health department said tuesday yugayatri report,true
2739,ndtvexclusive cannot scared covid number protect citizen identify case authackeray nidhi covid pandemic lockdown twitter htevabzqqa,true
1355,lockdown seems impacted maoist group extremist reported stranded forest erstwhile composite adilabad district able return neighbouring maharashtra thanks increased vigil covid,true
6262,asia richest mukesh ambani wife nita ambani received welfare fund central government,fake
1304,mail interview professor shyam sundar speaks detail impact covid lockdown migrant organised labour covid migrantlabour lockdown,true
3493,consumer sentiment strongest since covid lockdown began twitter frzl oxkqs,true
5323,photo pablo iglesias vice president spanish government praying catholic church beginning covid quarantine,fake
3187,union health ministry directed state make district wise prospective plan coming month tackle covid,true
940,indiafightscorona maharashtra covid case cross mark state health minister rajeshtope lockdown unlikely lifted stayhome newstoday sardesairajdeep live twitter,true
2385,social medium already filling misinformation covid vaccine month year even exists anti vaxxers practicing writes kevinroose worried unusually effective,true
5774,macedonian minister health boldly trample serious brand like acibadem sistina deters citizen take test hospital,fake
6491,american singing indian national anthem thanking india sending hydroxychloroquine tablet,fake
1873,world biggest advertising company said sale fell first quarter impact covid pandemic dragging march alone,true
416,interstate service westbengal remain suspended till march preventive measure check spread coronavirus covid india covid outbreak,true
5902,covid patient mechanical ventilator,fake
5824,essential cure coronavirus,fake
2430,bangladesh extend nationwide shutdown seventh time country reported alarming rise covid case positive case fatality highest coronavirus death single country,true
6831,prime minister boris johnson reporter recovering covid,fake
2545,relation china plunged nadir recent week president donald trump threatened whole relationship china covid pandemic originated wuhan covid china,true
5229,coffin people died covid would stay home idiot,fake
2520,zealand brace spike child abuse report covid lockdown,true
6438,image ideal social distancing followed market aizwal india,fake
1933,perspective tony winning director find rewarding build musical covid,true
5,elderly chinese tourist hospitalised france died coronavirus covid becoming first fatality europe french health minister agnes buzyn said,true
7551,news story referencing number covid proof case toll synchronized,fake
3891,chinese lynched pretended coronavirus,fake
2198,opinion covid crisis call unity optimism little either,true
2008,covid shine light inequality britain elite eton college twitter rytfe,true
5903,bill gate profit vaccination want reduce world population,fake
5744,little died covid three different country still believe medium fakenews,fake
1228,coronaviruscrisis total number confirmed case covid delhi stand ankit tyagi,true
3295,tamilnadu government reporting covid death state watch report akshayanath firstup coronavirus video twitter mbdg,true
5955,indian tourism ministry announces closure hotel till october,fake
101,coronavirus underlining centre preparedness deal covid union minister chemical fertilizer sadananda gowda monday said sufficient stock active pharmaceutical ingredient next three month,true
3489,coronaviruscrisis implemented anyone testing positive covid placed institutional quarantine period five kamaljitsandhu aajtakjitendra,true
6464,image peacock gathered ooty coimbatore road india amid nationwide lockdown,fake
4537,covid news going government sneakily trying remove encryption mean government able message listen call,fake
2534,coronaviruscrisis covid case lakh population india health ministry coronavirus india live update twitter jjnozhgfyg,true
1497,watch challenge someone becomes symptomatic asymptomatic sarin chairman delhi government covid panel ndtv coronaviruspandemic twitter trqxi,true
2606,info help camp youth sport school higher restaurant operate covid material emphasize importance working local health official make decision help prevent spread covid twitter qmkvwvj,true
6250,picture shared social medium explains much wearing face mask protects infection using percentage,fake
6815,democratic congrasswoman ilhan omar tweeted death covid vietnam iraq afghanistan combined,fake
996,miss england bhasha mukherjee resume work doctor amid covid crisis twitter lnvdrcn,true
1380,give maharashtra crore package fight covid minister centre twitter qhqhosefyl,true
4282,presidential election canceled coronavirus,fake
4781,self check test coronavirus,fake
1930,coronavirus outbreak orleans turned zulu club mardi gras celebration tragedy nytmag look racial disparity covid america,true
7340,migrant isolation india threw away food cooked dalit cook,fake
4607,spread covid prevented home made vaccine based fruit ingredient,fake
4584,coronavirus outbreak surge narendra modi decided facilitate fellow countryman free mask swacch bharat scheme,fake
5053,brazilian singer preta infected covid performed people,fake
5776,post barack obama warned african accept european american vaccine,fake
4919,spanish government declare imminently state emergency able leave house supermarket close,fake
6245,trump putin using coronavirus pandemic take international banker world order,fake
5467,video show raid synagogue requisition medical device,fake
5543,certain face mask effective others cloth mask,fake
4826,people rioting street london economic crisis wake coronavirus outbreak,fake
1653,last rite year covid victim performed strict police protection karnataka local hold protest,true
5946,government planning force american take vaccination coronavirus pandemic help bill gate,fake
1412,police personnel possibly came contact covid patient performing duty lockdown maharashtra covid,true
1190,coronaviruscrisis take look headline related india battle covid newstrack live twitter qrmvqcoyt,true
1273,brazil congress demand jair bolsonaro release result covid test,true
6572,huge crowd street delhi ramzan crowd festival navratri,fake
5687,show different part france confinement,fake
